Date,Symbols,Close,High,Low,Open,Volume
2020-09-17,GOOGL,74.352,74.933,73.123,74.2905,40007120.0
2020-09-17,META,254.82,261.5,250.19,258.28,31281441.0
2020-09-17,PFE,33.9695,34.1081,33.7206,33.9333,18402156.686124
2020-09-17,BNTX,66.1457,68.0573,64.5311,66.1853,2887437.8885794
2020-09-17,MRNA,67.89,70.9,64.6,68.5,13275199.0
2020-09-16,AMZN,153.905,159.362,153.708,158.999,90623780.0
2020-09-16,GOOGL,75.6045,77.7185,75.5795,77.124,22143380.0
2020-09-16,META,263.52,272.44,261.79,267.29,29207594.0
2020-09-16,PFE,33.9333,34.4223,33.8767,34.3949,22876904.704922
2020-09-16,BNTX,65.4127,66.6508,64.7865,64.8877,2259247.6845782
2020-09-16,MRNA,68.84,70.04,66.73,67.64,11398006.0
2020-09-15,AMZN,157.806,158.751,155.446,156.808,80430700.0
2020-09-15,GOOGL,76.756,77.5495,76.105,76.3945,23041100.0
2020-09-15,META,272.42,274.52,269.3,270.67,18478530.0
2020-09-15,PFE,34.0983,34.4594,33.9596,34.311,22628124.401781
2020-09-15,BNTX,66.2843,69.3351,65.5216,69.3351,3198669.2881555
2020-09-15,MRNA,66.88,68.41,64.2293,65.0274,9101184.0
2020-09-14,AMZN,155.148,159.37,154.8,158.647,90591920.0
2020-09-14,GOOGL,75.4415,77.85,75.2555,76.5824,42660140.0
2020-09-14,META,266.15,276.64,265.7,270.95,24093830.0
2020-09-14,PFE,34.1451,34.6312,33.4718,33.5469,30404517.514556
2020-09-14,BNTX,66.839,68.9884,66.1357,66.8588,3405907.8556391
2020-09-14,MRNA,63.67,63.85,60.115,60.15,8930779.0
2020-09-11,AMZN,155.811,160.867,154.199,160.434,101879640.0
2020-09-11,GOOGL,75.788,76.9347,74.651,76.4075,30706740.0
2020-09-11,META,266.61,271.39,262.64,270.06,18913883.0
2020-09-11,PFE,33.2776,33.3137,32.7047,32.9731,24793382.074823
2020-09-11,BNTX,64.5113,64.6599,60.4701,60.8684,2539365.535303
2020-09-11,MRNA,59.34,59.51,57.45,58.49,4821869.0
2020-09-10,AMZN,158.756,167.494,158.528,165.361,106614820.0
2020-09-10,GOOGL,76.3025,78.683,76.0,77.509,33023880.0
2020-09-10,META,268.09,279.16,267.0319,275.51,24814669.0
2020-09-10,PFE,32.8901,33.5079,32.8276,33.3976,22265045.561594
2020-09-10,BNTX,60.6187,61.6884,59.9253,61.4111,1768574.7627687
2020-09-10,MRNA,57.56,60.32,56.87,57.0408,7985321.0
2020-09-09,AMZN,163.43,165.159,159.25,160.15,103773500.0
2020-09-09,GOOGL,77.3615,77.936,76.2585,77.445,39241560.0
2020-09-09,META,273.72,278.48,271.35,275.77,22918769.0
2020-09-09,PFE,33.379,33.8143,33.3419,33.4805,28270602.919653
2020-09-09,BNTX,61.728,62.778,60.0244,62.4016,3439613.0223729
2020-09-09,MRNA,56.9,57.19,54.51,56.03,9355441.0
2020-09-08,AMZN,157.492,162.542,156.5,157.2,121884100.0
2020-09-08,GOOGL,76.18,77.7775,75.825,76.25,54031720.0
2020-09-08,META,271.16,279.3,269.42,271.28,24863997.0
2020-09-08,PFE,33.1487,33.7752,32.9185,33.702,27495432.485467
2020-09-08,BNTX,59.2617,60.4206,58.1325,59.5885,2915503.4848062
2020-09-08,MRNA,54.34,58.6,54.21,57.75,17706208.0
2020-09-04,AMZN,164.731,169.075,155.556,165.9,175635080.0
2020-09-04,GOOGL,79.0605,81.7495,76.8985,80.45,55850660.0
2020-09-04,META,282.73,289.0,271.14,287.25,30333671.0
2020-09-04,PFE,33.5469,33.7948,33.0931,33.665,27634748.717453
2020-09-04,BNTX,58.0136,59.3904,53.5861,58.7169,2004535.1600683
2020-09-04,MRNA,62.6,65.0,59.01,64.99,11653287.0
2020-09-03,AMZN,168.4,174.42,165.15,174.25,163222260.0
2020-09-03,GOOGL,81.4755,85.0,80.3855,84.976,63725740.0
2020-09-03,META,291.12,297.6,283.63,295.99,32294092.0
2020-09-03,PFE,33.5811,34.5891,33.3058,34.4779,36977058.941923
2020-09-03,BNTX,58.7169,63.0652,56.5576,62.8473,2610782.9320255
2020-09-03,MRNA,64.84,69.35,64.3,65.65,14307317.0
2020-09-02,AMZN,176.572,177.612,174.334,177.35,78629520.0
2020-09-02,GOOGL,85.8695,86.3051,83.0095,83.4005,49521440.0
2020-09-02,META,302.5,303.6,293.05,298.88,24341369.0
2020-09-02,PFE,34.3207,34.4126,33.5811,33.9245,29893565.294301
2020-09-02,BNTX,61.4012,62.6888,54.4379,55.478,3930129.457711
2020-09-02,MRNA,64.72,64.89,61.3805,62.84,9874614.0
2020-09-01,AMZN,174.956,175.694,173.35,174.479,69528140.0
2020-09-01,GOOGL,82.754,82.961,81.4765,81.608,22675320.0
2020-09-01,META,295.44,301.49,292.71,294.71,17320872.0
2020-09-01,PFE,34.0261,34.8926,33.6835,34.8634,37187521.133156
2020-09-01,BNTX,57.2609,59.955,56.1218,58.1523,3609827.9003414
2020-09-01,MRNA,63.32,64.5,62.5,63.54,8200671.0
2020-08-31,AMZN,172.548,174.75,170.25,170.45,83717700.0
2020-08-31,GOOGL,81.4765,82.225,81.2665,82.1785,26421940.0
2020-08-31,META,293.2,296.88,291.55,293.95,17345134.0
2020-08-31,PFE,34.8634,35.0772,34.5969,34.9112,30884643.09813
2020-08-31,BNTX,60.6682,62.5799,59.7668,62.2233,2238428.9263569
2020-08-31,MRNA,64.89,67.2,62.54,67.14,15271802.0
2020-08-28,AMZN,170.09,171.668,169.325,171.15,57939560.0
2020-08-28,GOOGL,81.9715,82.0675,81.2802,81.4735,22423900.0
2020-08-28,META,293.66,297.23,290.98,295.0,17172415.0
2020-08-28,PFE,34.9756,35.1142,34.5053,34.9385,33762098.137156
2020-08-28,BNTX,63.3921,64.8778,62.7185,64.4222,1781662.0797185
2020-08-28,MRNA,67.49,68.95,67.15,68.04,6383705.0
2020-08-27,AMZN,170.0,172.65,168.9,172.502,85295900.0
